,Two norm,Sup Norm,Interior Two Norm,Interior Sup Norm
W,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0
logXiE,4.898592370336225,0.034002461693940944,3.9862720338935476,0.032507861654229586
logXiH,6.524019646830059,0.08185272852121095,5.1676966536371625,0.05235703134601266
XiE,2.2547136990753047e-05,2.0853328982076788e-07,1.7953111605746376e-05,1.8825465658960207e-07
XiH,2.293721667838834e-05,4.53926519419993e-07,1.7983389947232128e-05,2.605009274470902e-07
kappa,6.81790366506652,0.36128822653029813,0.028913859016128512,0.0007843848422762756
q,0.35571671295999274,0.01884982051462436,0.0015085491660583113,4.092442655379003e-05
chi,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.08942513625743984,0.005451566086118131,4.9370974706532415e-05,1.4330343885565755e-06
sigmaR_second_shock,0.0015944060112710547,6.9754799020816e-05,4.070981428133737e-05,1.1272052370602e-06
sigmaR_third_shock,0.2004234763296192,0.007311319519231758,0.009205677421545776,0.000247952682251953
PiH_first_shock,0.33282340327778237,0.018110974610655778,0.004553062790966692,0.00018340175607602094
PiH_second_shock,0.0007034739831441872,3.787214988293513e-05,3.737927708471431e-05,1.0004413093495186e-06
PiH_third_shock,0.1826468507732866,0.00692807495193672,0.008399880030741274,0.0002253231356044176
PiE_first_shock,3.5452088129821346,0.21011964855723278,0.004943912162173873,0.0003954802505724206
PiE_second_shock,0.006560573014754585,0.00032466346629978697,4.317623847160914e-05,1.1989822945224055e-06
PiE_third_shock,0.2546235433239983,0.009507355180502917,0.010031455733282988,0.0002692664488380883
r,42.35650713563127,1.9347392921588948,0.23072720917624281,0.007183667575739544
dent,0.009613560325216944,0.0020462316382189824,0.009613511712410544,0.0020462316382189824
HJB_E,13.25975325832403,0.748574170151813,0.6002305166167407,0.020281460738624954
HJB_H,30.905599408755926,1.0288433130596049,1.3801690258233443,0.042095771822879255
kappa_min,0.12539954160105102,0.0032216677563081187,0.006192707178125739,0.00010696302769142105
